PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
90,103178786,4528,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
91,103178831,3948,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
92,103178852,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Unspecified,,,,12.1001,AC50,=,12100.1,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
93,103178857,3394,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
94,103178977,3335,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
95,103179008,4748,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
96,103179077,4914,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
97,103179087,3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
98,103179088,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
99,103179093,3718,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
100,103179212,2337,CCOC(=O)C1=CC=C(C=C1)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
101,103179234,5462501,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
102,103179428,2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
103,103179440,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,Unspecified,,,,11.5001,AC50,=,11500.1,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
104,103179760,65016,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
105,103179819,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
106,103181310,5663,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC4=C(C=C3)NC(=O)CC4)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
107,103181569,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Unspecified,,,,12.1001,AC50,=,12100.1,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
108,103181943,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
109,103182297,30668,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
110,103182482,34521,CC1=CC(=CC=C1)N2CC(OC2=O)CO,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
111,103182957,12035,CC(=O)N[C@@H](CS)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
112,103182993,137,C(CC(=O)O)C(=O)CN,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
113,103183576,5717,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,Active,,,,0.4206,AC50,=,420.6,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
114,103183749,4810,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
115,103183767,4680,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
116,103184407,5282381,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
117,103184537,4058,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
118,103184855,3965,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
119,103184938,5565,C(CNCCNCCN)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
120,103184980,5733,CC1=C(N(C(=C1)CC(=O)O)C)C(=O)C2=CC=C(C=C2)Cl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
121,103185398,5374,C=CCN1CCC2=C(CC1)SC(=N2)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
122,103185469,1046,C1=CN=C(C=N1)C(=O)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
123,103185681,3671,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
124,103186843,6024,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,Unspecified,,,,21.9999,AC50,=,21999.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
125,103186893,3599,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
126,103187121,4452,CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,Active,,,,7.1,AC50,=,7100,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
127,103187553,5357,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)CC)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
128,103188044,441401,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
129,103188114,2784,C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
130,103188146,441130,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
131,103188188,3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
132,103188344,6436135,CCC(CC)(CC(=O)NC1=CC=CC(=C1)/C=C/C2=NC(=CS2)C3CCC3)C(=O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
133,103188450,47641,CN(C/C=C/C1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32,Unspecified,,,,14.5999,AC50,=,14599.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
134,103188731,13314,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
135,103188732,4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
136,103188772,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
137,103188808,4932,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
138,103188954,5656,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
139,103189004,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
140,103189005,4913,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
141,103189006,54841,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
142,103189011,1978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
143,103189071,5556,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
144,103189208,71301,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
145,103189214,6741,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
146,103189227,3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
147,103189253,54477,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2OC)Br)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
148,103189261,5284603,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
149,103189283,2130,C1C2CC3CC1CC(C2)(C3)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
150,103189534,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
151,103189728,4976,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
152,103190627,667484,CCOC(=O)C1=CN=CN1[C@H](C)C2=CC=CC=C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
153,103190631,2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
154,103191130,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
155,103191448,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
156,103191539,11291,CN1CCC2=C(C1)C(C3=CC=CC=C23)C4=CC=CC=C4,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
157,103192942,3418,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
158,103193092,5576,CC1(C(=O)N(C(=O)O1)C)C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
159,103193099,3291,CCC1(CC(=O)NC1=O)C,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
160,103193143,6476,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
161,103193220,4823,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
162,103193678,2366,CNCCC1=CC=CC=N1,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
163,103193760,20628,CN(C)CCCNC1=C2C(=NC3=CC=CC=C31)C=CC=C2[N+](=O)[O-],Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
164,103194001,5336,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
165,103194524,5639,CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
166,103194628,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
167,103194715,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
168,103194727,57363,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
169,103194771,4760,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
170,103194851,2197,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
171,103195019,60825,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
172,103195118,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
173,103195284,5736,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Unspecified,,,,12.9999,AC50,=,12999.9,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
174,103195368,4041,CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Active,,,,3.1,AC50,=,3100,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
175,103195621,6279,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
176,103195949,2448,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,Unspecified,,,,30,AC50,>,30000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
177,103196240,446596,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O,Unspecified,,,,10,AC50,>,10000,nM,Summarised AC50 (mean value for measurements with a relation sign =; largest value for measurements with relation sign >)
